model,gradient,window,seed,lr,batch,epochs,kl,mae,acc@0.1,acc@0.2,dynTopK%,presence_f1,presence_precision,presence_recall,run_name,timestamp,_source_file
transformer,0,100,42,0.0003,64,60,2.453829227267085,0.11071687987124598,0.16026461877428055,0.363422963197446,38.98945693256415,0.4029721123226865,0.391304347826087,0.41535707181221404,mix-transformer-g0-w100-bs64-lr0.0003-seed42-20250923-003624-11bd79,2025-09-23T00:39:50,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.0003-seed42-20250923-003624-11bd79/results.jsonl
cnn,0,100,42,0.003,64,60,2.488235961746525,0.11640008035543803,0.12462654793766183,0.37672499805447185,36.463099263974534,0.37028935070100427,0.37017892644135186,0.37039984085935945,mix-cnn-g0-w100-bs64-lr0.003-seed42-20250923-004940-bbc379,2025-09-23T00:51:03,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.003-seed42-20250923-004940-bbc379/results.jsonl
lstm,0,100,42,0.001,64,60,2.4407347005766793,0.11518338967014004,0.11850903454470013,0.39358372619352533,34.23513029639944,0.3334283813325729,0.3192573716781944,0.3489158543863139,mix-lstm-g0-w100-bs64-lr0.001-seed42-20250923-004231-7ccc31,2025-09-23T00:44:55,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.001-seed42-20250923-004231-7ccc31/results.jsonl
mlp,0,100,42,0.0003,64,60,2.302185707801097,0.11178473614760347,0.11772656191428198,0.3686157361442494,34.0362044957231,0.3577289864715014,0.40415935855675267,0.32086731649094885,mix-mlp-g0-w100-bs64-lr0.0003-seed42-20250923-003123-7685ad,2025-09-23T00:32:38,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-bs64-lr0.0003-seed42-20250923-003123-7685ad/results.jsonl
mlp,0,100,42,0.003,64,60,2.3248766902330757,0.11221571417676436,0.1129605922111832,0.3534642206238622,37.17923214640939,0.3816590984605161,0.43053473263368314,0.3427491545653471,mix-mlp-g0-w100-bs64-lr0.003-seed42-20250923-004824-f2fdcb,2025-09-23T00:49:40,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-bs64-lr0.003-seed42-20250923-004824-f2fdcb/results.jsonl
cnn,0,100,42,0.0003,64,60,2.585955938777408,0.11916643099204914,0.11175131673137194,0.376511596458059,34.812015118360854,0.33610780816488306,0.33484698914116484,0.33737815794708576,mix-cnn-g0-w100-bs64-lr0.0003-seed42-20250923-003238-30f056,2025-09-23T00:34:00,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.0003-seed42-20250923-003238-30f056/results.jsonl
lstm,0,100,42,0.0003,64,60,2.6125210757191115,0.1191023639529138,0.10328638548531494,0.38839095334847973,28.704993037596978,0.31959953792837886,0.3096437231859728,0.3302168291227372,mix-lstm-g0-w100-bs64-lr0.0003-seed42-20250923-003400-e06edc,2025-09-23T00:36:24,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.0003-seed42-20250923-003400-e06edc/results.jsonl
lstm,0,100,42,0.003,64,60,2.6919177867270805,0.1193439520492747,0.09560392703503255,0.35958173358435314,28.38671175651482,0.29137621987651857,0.2917248255234297,0.2910284463894967,mix-lstm-g0-w100-bs64-lr0.003-seed42-20250923-005103-77a28f,2025-09-23T00:53:29,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.003-seed42-20250923-005103-77a28f/results.jsonl
mlp,0,100,42,0.001,64,60,2.4853321507170394,0.11347110227153108,0.09432351739295669,0.36313842757868553,37.13944698627412,0.36076089360760893,0.4062266500622665,0.32444798090312316,mix-mlp-g0-w100-bs64-lr0.001-seed42-20250923-003955-53c148,2025-09-23T00:41:09,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-bs64-lr0.001-seed42-20250923-003955-53c148/results.jsonl
transformer,0,100,42,0.003,64,60,2.8909343416626387,0.11526741006889858,0.09126476062651735,0.354033291632428,32.90232743186791,0.35540723745958913,0.3735203857957036,0.33896956435249653,mix-transformer-g0-w100-bs64-lr0.003-seed42-20250923-005329-68cd48,2025-09-23T00:56:54,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.003-seed42-20250923-005329-68cd48/results.jsonl
transformer,0,100,42,0.001,64,60,2.8066154847273954,0.11630069101984436,0.085360649135242,0.3474889757462256,34.13566739606127,0.37825436408977553,0.3793517406962785,0.37716331808235526,mix-transformer-g0-w100-bs64-lr0.001-seed42-20250923-004455-d2f393,2025-09-23T00:48:19,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.001-seed42-20250923-004455-d2f393/results.jsonl
cnn,0,100,42,0.001,64,60,2.623922945679845,0.12018076189466424,0.08486271197094757,0.3826291094948683,35.78675154167495,0.3331384015594542,0.32658131091152304,0.33996419335587824,mix-cnn-g0-w100-bs64-lr0.001-seed42-20250923-004109-2916ba,2025-09-23T00:42:31,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.001-seed42-20250923-004109-2916ba/results.jsonl
